poem,header
"a dark workshop of telephone wires
all of which lead to an indifferent love
a belt of romantic cynicism
missing the essential notch
to which i can breath comfortably
to which i can attach meaning
of which i know nothing
beyond the sound of  movemant
capture her hand in the neon furnace
stopped believing in my system
before i even realised it was happening
id sent a stream into her empty nest
the teeth of a memory
more dear to me than friendship
more dear to me than blood
the vagrant has been stoned
by the vivid hallucations
of an empty sensitive
making phone calls
through an octal system
of severed wires
slide into the fractal maze
theres a definite chance
we won’t meet here again
and ill float down stream
and burn inside the neon furnace
i don’t believe in blood
in the island of platitude
failing to robust blueprint",NY Poems
A dead forest index,Miscellaneus
"Americans think in movies. We drive a car down a sketchy drveway.  If they are scared . They think its the start of a horror film. Thy all listen to the same music . And they aren't paricularly open or personable to people outside of their friedgroup . Which is treated like a frat house..

They are unable to detect how different I am to them. And make fun of the kids they itroduced ne to despite the fact that they actually speak to me . Group think at a maximum . They are mean to other people because they are insecure of their own place. Noone is safe. They ride tv show precedent . Reality is dictated and by the media they so ignorantly consume . Still I fall in love with their women. So full of energy, light and sexuality , also filed by the same tv show engine . But its sexy . Then men are like sexist cave bears. Their idea of a joke is to say something mean or hurtful in a sarcastic tone . If you dont reply they self indulgently explain their 'joke's with a condescendig tone . They are extremely condescending generally , and I can't tell if its because they have no taste or because I dress differently to them . They btch about everyone behind there backs and don't seem to like anyone .  blind Material indulgence corruptss people , human kindness, morals , selflessness . these people are not frendly . Thy are terrified of people being weird . Fecause they are terrified of te weirdness that lives in all of us . If you are too nice you are gay and if you talk too much you are annoying . If you don't talk enough your a mute .  Unless te alpha male gives approval . Whoever is alpha male changes from night to night . It really comes down to whether or not you were the most 'on'. But given how much these people are obsessed with materiality it might have something to do with who is the richest . This would act as a a constant bonus score to the alpha pool .the alpha male shows his approval by complwmwnting the new comer , and making recommendations of your character to his friends while you are sitting there . They will immediately and obviously become nicer to you and will include you.in conversation . This is their way of testing you whether or.not you make the cut . What the cut is is te same for everyone and they all have the sane taste is music , fashion , ideas , everything.  If anyone doesn't meet this highly limited criteria they are marked weird and mocked . The criteria is so limited its like a military uniform . The core of their problem of self hatred is their consumer religion . They are soulless and they suffer unknowingly .  Small mindedness is q sign of unknown insecurity",Amsterdam poetry
"An intimate space shared between two
The intensity is exhausting
Inspires my mind
Before a second hand sofa
Expires like the milk
In our house in the north
Summer distorts",NY Poems
"Angel please give me
Myself again
I'm lost in the dark workshop
A kiss from her tangibility
Force feed me something to believe in
Or else nothing
In the end this means nothing
Unless she grants me one last chance
To make due with what what have
To take a chance with this
Intangible
Grief filled folk song of a person
A tortoise shell amongst poppy seeds
Pull the ring off the rosey
And I'll cut myself in two",NY Poems
"Awake in the train
Sit next to two of them
Before they notice me
I hide inside myself
Jokes aside",NY Poems
Bad poets live the poetry they cannot write . Good poets write the poetry they could never realize . Everything interesting in then is put in their art.,Amsterdam poetry
"Bankrolled
I find myself at a loss for words
Eyes aching pulp confusion
An arsenide taste fills my saliva
Wooden train panels reflect children's laughter
Coy platitudes of an empty universe
Please don't tell me things happen for a reason
The bridge waves a towel
Referee calls my foul before a stadium of depressed nationals
I wince and take a frost filled breath
A lantern flickers and her roundness finds hope
Lights off and there is infinite night
Her hope dangles like flesh offshoots
A banker in overalls strokes his hardon through pants
A child remembers the word pantaloon
Inanity at the centre of things
A pervert sitting at the bone alter
Primate in a test suite
Holding dinners with foreign friends
The Phoenix child loves to run",NY Poems
"Brazen doctor
I have a large vacancy
Known as the
Industry standard",NY Poems
"Can we ?
I would
Do
You
Forceful
But it isn't
Without remorse
I love your side-torso
Smoother than
An edit
Warmer than
Loving materials
We are close to
A version of things
Outside my head
And into orbit
We are becoming
A conduit for change
We are
Met with mild confusion
Together I'm more confused
But I'm happy that
You can improvise
It's deeper than you realise",NY Poems
